,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Unnamed: 29_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
9,10,2006,2006-11-19,10,11,,DEN,,SDG,L 27-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Cutler,CutlJa00
10,11,2006,2006-11-23,11,12,,DEN,@,KAN,L 10-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Cutler,CutlJa00
11,12,2006,2006-12-03,12,13,23.218,DEN,,SEA,L 20-23,*,10,21,47.62,143,2,2,62.3,3,22,6.81,4.43,4,10,2.50,0,,0,0,0.0,0,0,0,0,0,2,1,0,1,-6,0,,,,,,,,Jay Cutler,CutlJa00
12,13,2006,2006-12-10,13,14,23.225,DEN,@,SDG,L 20-48,*,17,30,56.67,188,2,0,97.6,4,22,6.27,7.60,1,0,0.00,0,,0,0,0.0,,,,,,3,1,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
13,14,2006,2006-12-17,14,15,23.232,DEN,@,ARI,W 37-20,*,21,31,67.74,261,2,1,101.7,1,5,8.42,8.26,3,10,3.33,0,,0,0,0.0,,,,,,1,0,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
14,15,2006,2006-12-24,15,16,23.239,DEN,,CIN,W 24-23,*,12,23,52.17,179,2,1,88.9,3,19,7.78,7.57,2,-1,-0.50,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,-2,0,,,,,,,,Jay Cutler,CutlJa00
15,16,2006,2006-12-31,16,17,23.246,DEN,,SFO,L 23-26,*,21,32,65.63,230,1,1,84.1,2,17,7.19,6.41,2,-1,-0.50,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,Jay Cutler,CutlJa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Jay Cutler,CutlJa00
17,17,2007,2007-09-09,1,1,24.133,DEN,@,BUF,W 15-14,*,23,39,58.97,304,1,1,81.6,1,5,7.79,7.15,4,18,4.50,0,,0,0,0.0,,,,,,1,0,0,0,-13,0,,,,,,,,Jay Cutler,CutlJa00
18,18,2007,2007-09-16,2,2,24.140,DEN,,OAK,W 23-20,*,23,33,69.70,269,1,2,79.0,2,9,8.15,6.03,2,-2,-1.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,-6,0,,,,,,,,Jay Cutler,CutlJa00
19,19,2007,2007-09-23,3,3,24.147,DEN,,JAX,L 14-23,*,16,23,69.57,222,1,1,96.6,1,4,9.65,8.57,2,-1,-0.50,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
20,20,2007,2007-09-30,4,4,24.154,DEN,@,IND,L 20-38,*,13,21,61.90,131,1,1,75.7,1,0,6.24,5.05,2,11,5.50,1,,1,6,0.0,,,,,,1,1,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
21,21,2007,2007-10-07,5,5,24.161,DEN,,SDG,L 3-41,*,23,36,63.89,232,0,1,70.6,1,8,6.44,5.19,3,7,2.33,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,-2,0,,,,,,,,Jay Cutler,CutlJa00
22,22,2007,2007-10-21,6,7,24.175,DEN,,PIT,W 31-28,*,22,29,75.86,248,3,2,106.7,2,14,8.55,7.52,3,41,13.67,0,,0,0,0.0,,,,,,1,0,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
23,23,2007,2007-10-29,7,8,24.183,DEN,,GNB,L 13-19,*,21,34,61.76,264,1,0,95.7,2,17,7.76,8.35,3,7,2.33,0,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
24,24,2007,2007-11-04,8,9,24.189,DEN,@,DET,L 7-44,*,3,4,75.00,20,0,0,85.4,2,13,5.00,5.00,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
25,25,2007,2007-11-11,9,10,24.196,DEN,@,KAN,W 27-11,*,17,29,58.62,192,1,1,75.6,1,6,6.62,5.76,3,21,7.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
26,26,2007,2007-11-19,10,11,24.204,DEN,,TEN,W 34-20,*,16,21,76.19,200,2,0,137.0,1,7,9.52,11.43,4,7,1.75,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
27,27,2007,2007-11-25,11,12,24.210,DEN,@,CHI,L 34-37,*,17,31,54.84,302,2,1,96.4,2,10,9.74,9.58,2,12,6.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
28,28,2007,2007-12-02,12,13,24.217,DEN,@,OAK,L 20-34,*,16,32,50.00,214,0,2,45.6,1,8,6.69,3.88,6,9,1.50,0,,0,0,0.0,,,,,,1,1,0,0,-7,0,,,,,,,,Jay Cutler,CutlJa00
29,29,2007,2007-12-09,13,14,24.224,DEN,,KAN,W 41-7,*,20,27,74.07,244,4,0,141.0,0,0,9.04,12.00,5,22,4.40,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
30,30,2007,2007-12-13,14,15,24.228,DEN,@,HOU,L 13-31,*,27,39,69.23,254,1,0,95.5,5,18,6.51,7.03,2,11,5.50,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
31,31,2007,2007-12-24,15,16,24.239,DEN,@,SDG,L 3-23,*,14,32,43.75,155,0,2,32.7,4,22,4.84,2.03,3,42,14.00,0,,0,0,0.0,,,,,,2,1,0,0,-3,0,,,,,,,,Jay Cutler,CutlJa00
32,32,2007,2007-12-30,16,17,24.245,DEN,,MIN,W 22-19,*,26,37,70.27,246,2,0,106.4,1,12,6.65,7.73,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,Jay Cutler,CutlJa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Jay Cutler,CutlJa00
34,33,2008,2008-09-08,1,1,25.132,DEN,@,OAK,W 41-14,*,16,24,66.67,300,2,0,137.5,0,0,12.50,14.17,5,9,1.80,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
35,34,2008,2008-09-14,2,2,25.138,DEN,,SDG,W 39-38,*,36,50,72.00,350,4,1,109.6,1,9,7.00,7.70,2,6,3.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
36,35,2008,2008-09-21,3,3,25.145,DEN,,NOR,W 34-32,*,21,34,61.76,264,2,1,93.3,0,0,7.76,7.62,1,7,7.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
37,36,2008,2008-09-28,4,4,25.152,DEN,@,KAN,L 19-33,*,29,49,59.18,361,1,2,71.9,1,9,7.37,5.94,2,6,3.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,-6,0,,,,,,,,Jay Cutler,CutlJa00
38,37,2008,2008-10-05,5,5,25.159,DEN,,TAM,W 16-13,*,23,34,67.65,227,1,0,96.1,0,0,6.68,7.26,5,16,3.20,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
39,38,2008,2008-10-12,6,6,25.166,DEN,,JAX,L 17-24,*,21,37,56.76,192,2,1,77.8,0,0,5.19,5.05,3,22,7.33,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
40,39,2008,2008-10-20,7,7,25.174,DEN,@,NWE,L 7-41,*,17,26,65.38,168,1,2,64.3,2,13,6.46,3.77,3,18,6.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
41,40,2008,2008-11-02,8,9,25.187,DEN,,MIA,L 17-26,*,24,46,52.17,307,2,3,60.7,1,2,6.67,4.61,1,2,2.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
42,41,2008,2008-11-06,9,10,25.191,DEN,@,CLE,W 34-30,*,24,42,57.14,447,3,1,107.9,1,6,10.64,11.00,7,29,4.14,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
43,42,2008,2008-11-16,10,11,25.201,DEN,@,ATL,W 24-20,*,19,27,70.37,216,1,0,106.4,1,8,8.00,8.74,1,4,4.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
44,43,2008,2008-11-23,11,12,25.208,DEN,,OAK,L 10-31,*,16,37,43.24,204,0,1,49.8,0,0,5.51,4.30,4,24,6.00,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
45,44,2008,2008-11-30,12,13,25.215,DEN,@,NYJ,W 34-17,*,27,43,62.79,357,2,1,94.8,0,0,8.30,8.19,3,-2,-0.67,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
46,45,2008,2008-12-07,13,14,25.222,DEN,,KAN,W 24-17,*,32,40,80.00,286,2,1,102.7,0,0,7.15,7.03,8,16,2.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,-5,0,,,,,,,,Jay Cutler,CutlJa00
47,46,2008,2008-12-14,14,15,25.229,DEN,@,CAR,L 10-30,*,21,33,63.64,172,1,1,74.3,3,14,5.21,4.45,2,9,4.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
48,47,2008,2008-12-21,15,16,25.236,DEN,,BUF,L 23-30,*,25,45,55.56,359,0,1,72.4,1,8,7.98,6.98,8,30,3.75,2,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
49,48,2008,2008-12-28,16,17,25.243,DEN,@,SDG,L 21-52,*,33,49,67.35,316,1,2,74.9,0,0,6.45,5.02,2,4,2.00,0,1,0,2,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Jay Cutler,CutlJa00
51,49,2009,2009-09-13,1,1,26.137,CHI,@,GNB,L 15-21,*,17,36,47.22,277,1,4,43.2,2,11,7.69,3.25,3,16,5.33,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
52,50,2009,2009-09-20,2,2,26.144,CHI,,PIT,W 17-14,*,27,38,71.05,236,2,0,104.7,2,5,6.21,7.26,1,-1,-1.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
53,51,2009,2009-09-27,3,3,26.151,CHI,@,SEA,W 25-19,*,21,27,77.78,247,3,1,126.4,2,14,9.15,9.70,2,-1,-0.50,0,,0,0,0.0,0,0,0,0,0,3,1,0,1,-2,0,,,,,,,,Jay Cutler,CutlJa00
54,52,2009,2009-10-04,4,4,26.158,CHI,,DET,W 48-24,*,18,28,64.29,141,2,0,100.4,2,16,5.04,6.46,3,8,2.67,1,,1,6,0.0,0,0,0,0,0,2,0,0,1,0,0,,,,,,,,Jay Cutler,CutlJa00
55,53,2009,2009-10-18,5,6,26.172,CHI,@,ATL,L 14-21,*,27,43,62.79,300,2,2,79.6,2,10,6.98,5.81,3,34,11.33,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
56,54,2009,2009-10-25,6,7,26.179,CHI,@,CIN,L 10-45,*,26,37,70.27,251,1,3,64.1,1,10,6.78,3.68,3,4,1.33,0,,0,0,0.0,0,0,0,0,0,2,0,0,1,-6,0,,,,,,,,Jay Cutler,CutlJa00
57,55,2009,2009-11-01,7,8,26.186,CHI,,CLE,W 30-6,*,17,30,56.67,225,0,1,66.7,4,26,7.50,6.00,5,32,6.40,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
58,56,2009,2009-11-08,8,9,26.193,CHI,,ARI,L 21-41,*,29,47,61.70,369,3,1,98.6,4,22,7.85,8.17,3,17,5.67,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
59,57,2009,2009-11-12,9,10,26.197,CHI,@,SFO,L 6-10,*,29,52,55.77,307,0,5,33.6,0,0,5.90,1.58,1,2,2.00,0,,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,,Jay Cutler,CutlJa00
60,58,2009,2009-11-22,10,11,26.207,CHI,,PHI,L 20-24,*,24,43,55.81,171,1,1,63.2,1,13,3.98,3.40,2,11,5.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
61,59,2009,2009-11-29,11,12,26.214,CHI,@,MIN,L 10-36,*,18,23,78.26,147,1,2,71.6,4,21,6.39,3.35,3,16,5.33,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
62,60,2009,2009-12-06,12,13,26.221,CHI,,STL,W 17-9,*,8,17,47.06,143,1,0,96.0,2,15,8.41,9.59,2,-2,-1.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,Jay Cutler,CutlJa00
63,61,2009,2009-12-13,13,14,26.228,CHI,,GNB,L 14-21,*,23,36,63.89,209,2,2,74.9,3,14,5.81,4.42,1,-1,-1.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
64,62,2009,2009-12-20,14,15,26.235,CHI,@,BAL,L 7-31,*,10,27,37.04,94,0,3,7.9,2,4,3.48,-1.52,4,23,5.75,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
65,63,2009,2009-12-28,15,16,26.243,CHI,,MIN,W 36-30,*,20,35,57.14,273,4,1,108.4,2,15,7.80,8.80,3,10,3.33,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
66,64,2009,2010-01-03,16,17,26.249,CHI,@,DET,W 37-23,*,22,36,61.11,276,4,0,122.0,2,8,7.67,9.89,1,5,5.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Jay Cutler,CutlJa00
68,65,2010,2010-09-12,1,1,27.136,CHI,,DET,W 19-14,*,23,35,65.71,372,2,1,108.3,4,10,10.63,10.49,5,22,4.40,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
69,66,2010,2010-09-19,2,2,27.143,CHI,@,DAL,W 27-20,*,21,29,72.41,277,3,0,136.7,1,7,9.55,11.62,5,3,0.60,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
70,67,2010,2010-09-27,3,3,27.151,CHI,,GNB,W 20-17,*,16,27,59.26,221,1,1,82.5,3,22,8.19,7.26,3,37,12.33,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
71,68,2010,2010-10-03,4,4,27.157,CHI,@,NYG,L 3-17,*,8,11,72.73,42,0,1,40.7,9,55,3.82,-0.27,0,0,,0,,0,0,0.0,0,0,0,,,3,1,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
72,69,2010,2010-10-10,5,5,,CHI,@,CAR,W 23-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jay Cutler,CutlJa00
73,70,2010,2010-10-17,6,6,27.171,CHI,,SEA,L 20-23,*,17,39,43.59,290,0,0,69.4,6,44,7.44,7.44,2,19,9.50,0,,0,0,0.0,0,0,0,,,1,0,0,1,0,0,,,,,,,,Jay Cutler,CutlJa00
74,71,2010,2010-10-24,7,7,27.178,CHI,,WAS,L 14-17,*,26,40,65.00,281,1,4,54.3,4,25,7.03,3.03,1,0,0.00,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
75,72,2010,2010-11-07,8,9,27.192,CHI,@,BUF,W 22-19,*,17,30,56.67,188,2,0,97.6,1,10,6.27,7.60,5,39,7.80,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
76,73,2010,2010-11-14,9,10,27.199,CHI,,MIN,W 27-13,*,22,35,62.86,237,3,2,87.4,2,7,6.77,5.91,4,24,6.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
77,74,2010,2010-11-18,10,11,27.203,CHI,@,MIA,W 16-0,*,16,25,64.00,156,0,1,64.7,3,23,6.24,4.44,4,28,7.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
78,75,2010,2010-11-28,11,12,27.213,CHI,,PHI,W 31-26,*,14,21,66.67,247,4,0,146.2,4,29,11.76,15.57,7,17,2.43,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
79,76,2010,2010-12-05,12,13,27.220,CHI,@,DET,W 24-20,*,21,26,80.77,234,1,0,117.0,4,37,9.00,9.77,5,12,2.40,0,,0,0,0.0,1,0,1,,,1,1,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
80,77,2010,2010-12-12,13,14,27.227,CHI,,NWE,L 7-36,*,12,26,46.15,152,0,2,32.9,2,14,5.85,2.38,2,21,10.50,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
81,78,2010,2010-12-20,14,15,27.235,CHI,@,MIN,W 40-14,*,14,24,58.33,194,3,1,106.6,1,5,8.08,8.71,1,-1,-1.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Jay Cutler,CutlJa00
