,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Unnamed: 29_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
9,10,2017,2017-11-19,10,11,,KAN,@,NYG,L 9-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Patrick Mahomes,MahoPa00
10,11,2017,2017-11-26,11,12,,KAN,,BUF,L 10-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Patrick Mahomes,MahoPa00
11,12,2017,2017-12-03,12,13,,KAN,@,NYJ,L 31-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Patrick Mahomes,MahoPa00
12,13,2017,2017-12-10,13,14,,KAN,,OAK,W 26-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Patrick Mahomes,MahoPa00
13,14,2017,2017-12-16,14,15,,KAN,,LAC,W 30-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Patrick Mahomes,MahoPa00
14,15,2017,2017-12-24,15,16,,KAN,,MIA,W 29-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Patrick Mahomes,MahoPa00
15,16,2017,2017-12-31,16,17,22.105,KAN,@,DEN,W 27-24,*,22,35,62.86,284,0,1,76.4,2,15,8.11,6.83,7,10,1.43,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,62,94%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Patrick Mahomes,MahoPa00
17,17,2018,2018-09-09,1,1,22.357,KAN,@,LAC,W 38-28,*,15,27,55.56,256,4,0,127.5,1,0,9.48,12.44,5,21,4.20,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
18,18,2018,2018-09-16,2,2,22.364,KAN,@,PIT,W 42-37,*,23,28,82.14,326,6,0,154.8,1,4,11.64,15.93,5,18,3.60,0,,0,0,0.0,0,0,0,,,1,0,0,1,-2,0,58,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
19,19,2018,2018-09-23,3,3,23.006,KAN,,SFO,W 38-27,*,24,38,63.16,314,3,0,115.5,2,7,8.26,9.84,5,7,1.40,0,,0,0,0.0,0,0,0,,,1,0,0,1,0,0,75,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
20,20,2018,2018-10-01,4,4,23.014,KAN,@,DEN,W 27-23,*,28,45,62.22,304,1,0,89.5,1,0,6.76,7.20,3,7,2.33,1,,1,6,0.0,0,0,0,,,1,0,0,1,-2,0,78,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
21,21,2018,2018-10-07,5,5,23.020,KAN,,JAX,W 30-14,*,22,38,57.89,313,0,2,62.7,1,15,8.24,5.87,4,13,3.25,1,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
22,22,2018,2018-10-14,6,6,23.027,KAN,@,NWE,L 40-43,*,23,36,63.89,352,4,2,110.0,0,0,9.78,9.50,2,9,4.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
23,23,2018,2018-10-21,7,7,23.034,KAN,,CIN,W 45-10,*,28,39,71.79,358,4,1,123.7,2,5,9.18,10.08,4,45,11.25,0,,0,0,0.0,0,0,0,,,2,0,0,2,0,0,70,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
24,24,2018,2018-10-28,8,8,23.041,KAN,,DEN,W 30-23,*,24,34,70.59,303,4,1,125.0,2,12,8.91,9.94,2,-1,-0.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
25,25,2018,2018-11-04,9,9,23.048,KAN,@,CLE,W 37-21,*,23,32,71.88,375,3,1,129.0,2,15,11.72,12.19,2,18,9.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
26,26,2018,2018-11-11,10,10,23.055,KAN,,ARI,W 26-14,*,21,28,75.00,249,2,0,125.4,5,37,8.89,10.32,4,21,5.25,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
27,27,2018,2018-11-19,11,11,23.063,KAN,@,LAR,L 51-54,*,33,46,71.74,478,6,3,117.6,3,30,10.39,10.07,6,28,4.67,0,,0,0,0.0,0,0,0,,,2,2,0,0,0,0,72,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
28,28,2018,2018-12-02,12,13,23.076,KAN,@,OAK,W 40-33,*,23,38,60.53,295,4,0,120.0,0,0,7.76,9.87,9,52,5.78,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
29,29,2018,2018-12-09,13,14,23.083,KAN,,BAL,W 27-24,*,35,53,66.04,377,2,1,91.5,3,29,7.11,7.02,2,-3,-1.50,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,86,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
30,30,2018,2018-12-13,14,15,23.087,KAN,,LAC,L 28-29,*,24,34,70.59,243,2,0,110.3,2,9,7.15,8.32,2,3,1.50,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,60,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
31,31,2018,2018-12-23,15,16,23.097,KAN,@,SEA,L 31-38,*,23,40,57.50,273,3,0,103.4,1,8,6.83,8.33,3,33,11.00,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
32,32,2018,2018-12-30,16,17,23.104,KAN,,OAK,W 35-3,*,14,24,58.33,281,2,1,109.9,0,0,11.71,11.50,2,1,0.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,76%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Patrick Mahomes,MahoPa00
34,33,2019,2019-09-08,1,1,23.356,KAN,@,JAX,W 40-26,*,25,33,75.76,378,3,0,143.2,0,0,11.45,13.27,1,2,2.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
35,34,2019,2019-09-15,2,2,23.363,KAN,@,OAK,W 28-10,*,30,44,68.18,443,4,0,131.2,2,7,10.07,11.89,1,-1,-1.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,75,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
36,35,2019,2019-09-22,3,3,24.005,KAN,,BAL,W 33-28,*,27,37,72.97,374,3,0,132.0,1,11,10.11,11.73,4,9,2.25,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,68,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
37,36,2019,2019-09-29,4,4,24.012,KAN,@,DET,W 34-30,*,24,42,57.14,315,0,0,81.0,0,0,7.50,7.50,6,54,9.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
38,37,2019,2019-10-06,5,5,24.019,KAN,,IND,L 13-19,*,22,39,56.41,321,1,0,91.9,4,33,8.23,8.74,3,17,5.67,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
39,38,2019,2019-10-13,6,6,24.026,KAN,,HOU,L 24-31,*,19,35,54.29,273,3,1,96.5,1,17,7.80,8.23,1,-1,-1.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,55,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
40,39,2019,2019-10-17,7,7,24.030,KAN,@,DEN,W 30-6,*,10,11,90.91,76,1,0,125.8,0,0,6.91,8.73,1,2,2.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,33%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
41,40,2019,2019-10-27,8,8,,KAN,,GNB,L 24-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Patrick Mahomes,MahoPa00
42,41,2019,2019-11-03,9,9,,KAN,,MIN,W 26-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Patrick Mahomes,MahoPa00
43,42,2019,2019-11-10,10,10,24.054,KAN,@,TEN,L 32-35,*,36,50,72.00,446,3,0,119.2,2,13,8.92,10.12,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
44,43,2019,2019-11-18,11,11,24.062,KAN,@,LAC,W 24-17,*,19,32,59.38,182,1,1,72.7,1,2,5.69,4.91,5,59,11.80,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
45,44,2019,2019-12-01,12,13,24.075,KAN,,OAK,W 40-9,*,15,29,51.72,175,1,0,81.8,1,12,6.03,6.72,3,25,8.33,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,98%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
46,45,2019,2019-12-08,13,14,24.082,KAN,@,NWE,W 23-16,*,26,40,65.00,283,1,1,83.6,1,12,7.08,6.45,6,6,1.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
47,46,2019,2019-12-15,14,15,24.089,KAN,,DEN,W 23-3,*,27,34,79.41,340,2,1,115.7,3,13,10.00,9.85,3,11,3.67,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
48,47,2019,2019-12-22,15,16,24.096,KAN,@,CHI,W 26-3,*,23,33,69.70,251,2,0,112.1,1,7,7.61,8.82,2,14,7.00,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,94%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
49,48,2019,2019-12-29,16,17,24.103,KAN,,LAC,W 31-21,*,16,25,64.00,174,1,1,81.1,0,0,6.96,5.96,7,21,3.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,94%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Patrick Mahomes,MahoPa00
51,49,2020,2020-09-10,1,1,24.359,KAN,,HOU,W 34-20,*,24,32,75.00,211,3,0,123.3,1,8,6.59,8.47,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
52,50,2020,2020-09-20,2,2,25.003,KAN,@,LAC,W 23-20,*,27,47,57.45,302,2,0,90.9,1,13,6.43,7.28,6,54,9.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
53,51,2020,2020-09-28,3,3,25.011,KAN,@,BAL,W 34-20,*,31,42,73.81,385,4,0,133.5,0,0,9.17,11.07,4,26,6.50,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
54,52,2020,2020-10-05,4,4,25.018,KAN,,NWE,W 26-10,*,19,29,65.52,236,2,0,113.6,1,7,8.14,9.52,8,28,3.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
55,53,2020,2020-10-11,5,5,25.024,KAN,,LVR,L 32-40,*,22,43,51.16,340,2,1,83.5,3,7,7.91,7.79,6,21,3.50,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
56,54,2020,2020-10-19,6,6,25.032,KAN,@,BUF,W 26-17,*,21,26,80.77,225,2,0,128.4,1,4,8.65,10.19,10,36,3.60,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,0,73,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
57,55,2020,2020-10-25,7,7,25.038,KAN,@,DEN,W 43-16,*,15,23,65.22,200,1,0,107.2,3,25,8.70,9.57,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,80%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
58,56,2020,2020-11-01,8,8,25.045,KAN,,NYJ,W 35-9,*,31,42,73.81,416,5,0,144.4,0,0,9.90,12.29,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,82%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
59,57,2020,2020-11-08,9,9,25.052,KAN,,CAR,W 33-31,*,30,45,66.67,372,4,0,121.7,2,11,8.27,10.04,1,6,6.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
60,58,2020,2020-11-22,10,11,25.066,KAN,@,LVR,W 35-31,*,34,45,75.56,348,2,1,102.8,0,0,7.73,7.62,4,16,4.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
61,59,2020,2020-11-29,11,12,25.073,KAN,@,TAM,W 27-24,*,37,49,75.51,462,3,0,124.7,2,6,9.43,10.65,4,28,7.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,79,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
62,60,2020,2020-12-06,12,13,25.080,KAN,,DEN,W 22-16,*,25,40,62.50,318,1,0,95.6,1,5,7.95,8.45,4,26,6.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
63,61,2020,2020-12-13,13,14,25.087,KAN,@,MIA,W 33-27,*,24,34,70.59,393,2,3,91.9,3,39,11.56,8.76,5,9,1.80,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,-9,0,62,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
64,62,2020,2020-12-20,14,15,25.094,KAN,@,NOR,W 32-29,*,26,47,55.32,254,3,0,92.0,4,22,5.40,6.68,7,37,5.29,0,,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,98,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
65,63,2020,2020-12-27,15,16,25.101,KAN,,ATL,W 17-14,*,24,44,54.55,278,2,1,79.5,0,0,6.32,6.20,3,21,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
66,64,2020,2021-01-03,16,17,,KAN,,LAC,L 21-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Patrick Mahomes,MahoPa00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Patrick Mahomes,MahoPa00
68,65,2021,2021-09-12,1,1,25.360,KAN,,CLE,W 33-29,*,27,36,75.00,337,3,0,131.4,2,13,9.36,11.03,5,18,3.60,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Patrick Mahomes,MahoPa00
